LANGUAGE,INCOME,CURRENT_GENDER,RACE_1,MARITAL_STATUS,EDUCATION,EMPLOYMENT,LGBT_IDENTITY,ETHNICITY_1,GENDER,OTHER_LANGUAGE,dis-score,score
13,6.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,6.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,9.0,1.0,5.0,1,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,9.0,1.0,5.0,1,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,1.0,0.0,5.0,3,3.0,1.0,0.0,0.0,1.0,-999.0,0.5354,1440.0
13,5.0,0.0,4.0,3,4.0,0.0,0.0,0.0,1.0,-999.0,0.8646,10800.0
13,6.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,4.0,0.0,5.0,3,3.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,7.0,0.0,5.0,1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,7.0,0.0,2.0,1,4.0,3.0,0.0,0.0,1.0,1.0,0.6897,3120.0
13,4.0,0.0,5.0,3,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
13,7.0,1.0,4.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,4.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
5,9.0,1.0,5.0,1,4.0,0.0,0.0,0.0,2.0,1.0,0.9989,3628800.0
13,9.0,0.0,5.0,1,3.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,8.0,1.0,4.0,1,3.0,0.0,0.0,0.0,2.0,1.0,0.675,2880.0
13,9.0,0.0,5.0,1,4.0,0.0,1.0,0.0,1.0,-999.0,0.0,0.0
13,10.0,1.0,-999.0,1,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,8.0,0.0,5.0,1,3.0,4.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,8.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,8.0,0.0,2.0,1,4.0,0.0,1.0,-999.0,1.0,1.0,0.8415,8688.0
13,1.0,1.0,5.0,3,4.0,1.0,0.0,0.0,2.0,-999.0,0.8054,6480.0
13,7.0,0.0,5.0,3,4.0,2.0,0.0,0.0,1.0,-999.0,0.8729,11760.0
13,5.0,4.0,5.0,3,3.0,1.0,3.0,0.0,1.0,1.0,0.9963,889200.0
13,1.0,1.0,5.0,3,3.0,2.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,9.0,0.0,5.0,3,4.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,4.0,1.0,5.0,3,3.0,0.0,2.0,0.0,2.0,1.0,0.2141,264.0
13,2.0,0.0,6.0,3,1.0,2.0,0.0,1.0,1.0,1.0,0.9886,232560.0
40,6.0,1.0,5.0,3,3.0,0.0,0.0,1.0,2.0,0.0,0.9441,33864.0
13,7.0,1.0,5.0,3,3.0,0.0,-999.0,1.0,2.0,1.0,0.0,0.0
13,4.0,1.0,4.0,1,2.0,0.0,0.0,0.0,2.0,1.0,0.977,100080.0
13,10.0,1.0,6.0,1,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,8.0,1.0,4.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,4.0,1.0,2.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,4.0,1.0,4.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,8.0,0.0,5.0,3,4.0,0.0,0.0,-999.0,1.0,-999.0,0.0,0.0
13,8.0,1.0,4.0,1,4.0,0.0,0.0,0.0,2.0,-999.0,0.39,720.0
13,4.0,1.0,2.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,9.0,1.0,4.0,1,1.0,0.0,0.0,0.0,2.0,-999.0,0.8948,15120.0
13,9.0,0.0,2.0,1,3.0,3.0,0.0,0.0,1.0,1.0,0.9552,44640.0
13,4.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,4.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,9.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,10.0,1.0,5.0,1,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
13,7.0,0.0,5.0,1,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
13,7.0,0.0,5.0,3,3.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,6.0,0.0,2.0,3,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
40,9.0,1.0,5.0,1,4.0,1.0,0.0,1.0,2.0,0.0,0.9814,129600.0
13,8.0,1.0,4.0,1,4.0,1.0,0.0,0.0,2.0,-999.0,0.8576,10080.0
13,6.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,4.0,1.0,2.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,1.0,1.0,2.0,3,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0
13,9.0,1.0,6.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,5.0,1.0,4.0,3,0.0,1.0,0.0,0.0,2.0,-999.0,0.9157,20160.0
13,4.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,6.0,0.0,5.0,3,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,6.0,0.0,5.0,3,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
13,7.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,7.0,1.0,4.0,3,4.0,0.0,0.0,-999.0,2.0,1.0,0.0,0.0
