age,sexual_attraction_M,sexual_attraction_F,gender_identity_M,gender_identity_F,education_level,sex,handedness,religious_upbringing,religious_now,background_SES,dis-score,score
25.25,7.0,7.0,1.0,7.0,2,0,1,0,0,3.0,0.8741,23040.0
25.0,,,,,0,1,1,0,0,4.5,0.0,0.0
22.75,,,,,0,0,1,0,0,3.0,0.0,0.0
21.75,6.0,2.0,1.0,7.0,0,0,1,0,0,4.5,0.7747,10080.0
21.5,,,,,0,0,1,0,0,4.0,0.0,0.0
22.5,1.0,7.0,7.0,1.0,2,1,1,0,0,2.0,0.6366,4560.0
24.5,2.0,6.0,5.0,2.0,0,1,0,1,1,4.0,0.9921,697680.0
22.5,6.0,4.0,3.0,6.0,1,0,1,0,0,4.5,0.9941,987840.0
24.25,1.0,7.0,7.0,1.0,2,1,1,1,1,4.0,0.0,0.0
25.0,7.0,1.0,1.0,7.0,0,0,1,0,0,6.0,0.0,0.0
20.75,6.0,2.0,1.0,6.0,0,0,1,0,0,5.0,0.6692,5400.0
22.25,7.0,1.0,1.0,7.0,2,0,0,0,0,4.0,0.8122,13200.0
21.0,7.0,1.0,1.0,7.0,2,0,1,1,1,4.0,0.0,0.0
25.25,5.0,3.0,1.0,7.0,0,0,1,0,0,4.0,0.9745,171360.0
